language_id	language_name	iso_639_3_id	train_data_duration
aae	Arbëreshë Albanian	aae	6.11
aal	Afade	aal	10.19
aao	Algerian Saharan Arabic	aao	2.02
ab	Abkhazian	abk	57.27
abb	Bankon	abb	11.2
abn	Abua	abn	10.27
abr	Abron	abr	9.22
abs	Ambonese Malay	abs	10.03
abv	Baharna Arabic	abv	10.41
acm	Mesopotamian Arabic	acm	3.78
acw	Hijazi Arabic	acw	22.32
acx	Omani Arabic	acx	22.03
adf	Dhofari Arabic	adf	0.31
adx	Amdo Tibetan	adx	56.94
ady	Adyghe	ady	32.6
aeb	Tunisian Arabic	aeb	21.63
aec	Saidi Arabic	aec	9.28
af	Afrikaans	afr	4.4
afb	Gulf Arabic	afb	98.55
afo	Eloyi	afo	11.21
ahl	Igo	ahl	9.22
ahs	Ashe	ahs	10.62
ajg	Aja (Benin)	ajg	5.63
aju	Judeo-Moroccan Arabic	aju	7.21
ala	Alago	ala	11.04
aln	Gheg Albanian	aln	3.92
alo	Larike-Wakasihu	alo	9.97
am	Amharic	amh	12.83
amu	Guerrero Amuzgo	amu	10.1
an	Aragonese	arg	16.4
anc	Ngas	anc	10.14
ank	Goemai	ank	10.0
anp	Angika	anp	10.65
anw	Anaang	anw	9.65
aom	Ömie	aom	8.19
apc	Levantine Arabic	apc	15.65
apd	Sudanese Arabic	apd	9.93
arb	Standard Arabic	arb	1483.53
arq	Algerian Arabic	arq	9.64
ars	Najdi Arabic	ars	203.54
ary	Moroccan Arabic	ary	104.67
arz	Egyptian Arabic	arz	23.23
as	Assamese	asm	270.85
ast	Asturian	ast	8.48
avl	Eastern Egyptian Bedawi Arabic	avl	1.86
awo	Awak	awo	10.22
ayl	Libyan Arabic	ayl	20.13
ayp	North Mesopotamian Arabic	ayp	10.92
az	Azerbaijani	aze	9.84
ba	Bashkir	bak	249.1
bag	Tuki	bag	10.97
bas	Basa (Cameroon)	bas	10.66
bax	Bamun	bax	10.24
bba	Baatonum	bba	10.53
bbj	Ghomálá'	bbj	7.32
bbl	Bats	bbl	11.22
bbu	Kulung (Nigeria)	bbu	10.39
bce	Bamenyam	bce	9.9
bci	Baoulé	bci	10.21
bcs	Kohumono	bcs	10.45
bcy	Bacama	bcy	9.94
bda	Bayot	bda	9.47
bde	Bade	bde	9.89
bdm	Buduma	bdm	10.17
be	Belarusian	bel	1809.43
beb	Bebele	beb	7.52
bew	Betawi	bew	11.15
bfd	Bafut	bfd	9.03
bft	Balti	bft	16.28
bg	Bulgarian	bul	2190.76
bgp	Eastern Balochi	bgp	10.98
bhb	Bhili	bhb	9.98
bhh	Bukharic	bhh	11.38
bho	Bhojpuri	bho	10.05
bhp	Bima	bhp	10.67
bhr	Bara Malagasy	bhr	12.14
bjj	Kanauji	bjj	11.01
bjk	Barok	bjk	10.16
bjn	Banjar	bjn	11.68
bjt	Balanta-Ganja	bjt	9.41
bkh	Bakoko	bkh	6.0
bkm	Kom (Cameroon)	bkm	10.76
bky	Bokyi	bky	9.85
bmm	Northern Betsimisaraka Malagasy	bmm	19.12
bmq	Bomu	bmq	10.68
bn	Bengali	ben	271.76
bnm	Batanga	bnm	15.01
bnn	Bunun	bnn	9.26
bns	Bundeli	bns	10.88
bo	Tibetan	bod	82.27
bou	Bondei	bou	9.98
bqg	Bago-Kusuntu	bqg	8.86
br	Breton	bre	25.48
bra	Braj	bra	10.68
brh	Brahui	brh	19.89
bri	Mokpwe	bri	7.53
brx	Bodo	brx	231.57
bs	Bosnian	bos	690.73
bsh	Kati	bsh	8.77
bsj	Bangwinji	bsj	10.0
bsk	Burushaski	bsk	9.14
btm	Batak Mandailing	btm	11.09
btv	Bateri	btv	9.8
bug	Buginese	bug	11.09
bum	Bulu (Cameroon)	bum	9.06
buo	Terei	buo	9.48
bux	Boghom	bux	10.48
bwr	Bura-Pabir	bwr	10.4
bxf	Bilur	bxf	10.84
byc	Ubaghara	byc	11.11
bys	Burak	bys	9.92
byv	Medumba	byv	10.95
byx	Qaqet	byx	9.79
bzc	Southern Betsimisaraka Malagasy	bzc	17.45
bzw	Basa (Nigeria)	bzw	10.27
ca	Catalan	cat	3358.6
ccg	Samba Daka	ccg	10.11
